Run_ID,Status,Cover_Density,Avg_Effectiveness,Distribution_Evenness,Clustering_Score,Type_Ratio,Sightline_Exposure,Symmetry_Delta,Navigable_Area,Chokepoint_Centrality
622,PASSED,0.063,0.723,0.681,0.512,0.698,0.543,9.200,0.714,0.380
623,PASSED,0.064,0.724,0.694,0.638,0.745,0.433,12.701,0.664,0.430
624,REJECTED,0.061,0.715,0.630,0.652,0.761,0.437,16.482,0.680,0.530
625,REJECTED,0.055,0.755,0.595,0.674,0.674,0.500,22.341,0.692,0.230
626,REJECTED,0.065,0.689,0.721,0.784,0.725,0.430,36.634,0.650,0.460
627,REJECTED,0.077,0.649,0.669,0.768,0.661,0.316,30.869,0.578,0.440
628,PASSED,0.071,0.687,0.702,0.426,0.723,0.455,7.411,0.674,0.224
629,REJECTED,0.072,0.650,0.625,0.615,0.673,0.380,29.289,0.623,0.330
630,REJECTED,0.062,0.597,0.622,0.740,0.600,0.308,39.364,0.592,0.435
631,PASSED,0.065,0.682,0.668,0.755,0.694,0.445,2.960,0.653,0.290
632,REJECTED,0.078,0.584,0.683,0.842,0.596,0.375,31.485,0.585,0.290
633,REJECTED,0.064,0.695,0.720,0.660,0.681,0.504,21.734,0.684,0.380
634,PASSED,0.059,0.699,0.739,0.625,0.729,0.454,8.524,0.672,0.250
635,REJECTED,0.070,0.627,0.665,0.820,0.540,0.478,35.806,0.640,0.460
636,REJECTED,0.059,0.597,0.620,0.674,0.500,0.581,16.258,0.680,0.230
637,REJECTED,0.067,0.722,0.668,0.714,0.714,0.483,28.916,0.667,0.170
638,PASSED,0.080,0.647,0.724,0.736,0.642,0.351,6.853,0.601,0.480
639,PASSED,0.066,0.604,0.652,0.839,0.625,0.398,1.215,0.614,0.378
640,PASSED,0.061,0.607,0.621,0.774,0.698,0.353,11.506,0.605,0.430
641,REJECTED,0.061,0.641,0.605,0.596,0.617,0.488,35.699,0.671,0.380
642,PASSED,0.072,0.635,0.735,0.667,0.667,0.324,2.739,0.596,0.290
643,REJECTED,0.055,0.636,0.686,0.644,0.622,0.516,30.475,0.690,0.300
644,REJECTED,0.068,0.718,0.681,0.519,0.827,0.371,23.721,0.635,0.280
645,PASSED,0.069,0.626,0.686,0.746,0.644,0.327,13.714,0.579,0.320
646,REJECTED,0.053,0.620,0.691,0.706,0.647,0.393,21.125,0.635,0.400
647,PASSED,0.070,0.703,0.681,0.712,0.750,0.339,5.088,0.612,0.260
648,PASSED,0.068,0.679,0.702,0.604,0.625,0.497,3.517,0.659,0.330
649,PASSED,0.061,0.706,0.646,0.761,0.674,0.592,13.267,0.711,0.220
650,PASSED,0.076,0.712,0.642,0.681,0.723,0.441,7.181,0.655,0.330
651,PASSED,0.063,0.710,0.786,0.364,0.636,0.544,8.016,0.702,0.330
652,REJECTED,0.075,0.638,0.700,0.768,0.661,0.349,21.198,0.589,0.447
653,REJECTED,0.074,0.642,0.603,0.860,0.720,0.405,26.795,0.636,0.450
654,PASSED,0.059,0.721,0.666,0.405,0.667,0.523,2.021,0.709,0.280
655,REJECTED,0.063,0.703,0.694,0.630,0.696,0.454,32.790,0.665,0.260
656,REJECTED,0.054,0.598,0.634,0.708,0.500,0.515,20.284,0.667,0.210
657,REJECTED,0.062,0.642,0.712,0.870,0.611,0.392,4.463,0.616,0.330
658,PASSED,0.075,0.759,0.693,0.571,0.786,0.479,8.083,0.695,0.420
659,REJECTED,0.067,0.799,0.608,0.548,0.857,0.486,21.197,0.708,0.320
660,REJECTED,0.062,0.751,0.704,0.289,0.778,0.487,14.053,0.688,0.290
661,PASSED,0.055,0.734,0.632,0.675,0.675,0.586,0.594,0.739,0.220
662,REJECTED,0.062,0.643,0.678,0.754,0.702,0.330,17.605,0.585,0.310
663,REJECTED,0.078,0.653,0.785,0.667,0.667,0.346,36.667,0.587,0.580
664,PASSED,0.058,0.747,0.651,0.689,0.756,0.524,3.022,0.715,0.221
665,REJECTED,0.061,0.662,0.627,0.723,0.638,0.427,23.593,0.649,0.330
666,REJECTED,0.061,0.695,0.665,0.860,0.720,0.423,7.426,0.648,0.270
667,REJECTED,0.057,0.704,0.703,0.405,0.619,0.549,29.636,0.710,0.440
668,PASSED,0.077,0.727,0.615,0.783,0.717,0.423,5.465,0.653,0.300
669,PASSED,0.050,0.727,0.644,0.659,0.614,0.595,12.737,0.725,0.330
670,REJECTED,0.063,0.666,0.616,0.604,0.667,0.394,20.759,0.638,0.280
671,PASSED,0.066,0.637,0.722,0.788,0.654,0.340,4.533,0.598,0.420
672,REJECTED,0.058,0.644,0.665,0.788,0.692,0.349,31.193,0.613,0.420
673,REJECTED,0.060,0.710,0.649,0.729,0.688,0.439,22.942,0.666,0.490
674,PASSED,0.064,0.723,0.644,0.455,0.682,0.556,13.576,0.710,0.260
675,PASSED,0.064,0.712,0.739,0.692,0.788,0.353,4.992,0.624,0.600
676,REJECTED,0.064,0.699,0.672,0.698,0.558,0.576,17.617,0.700,0.240
677,PASSED,0.062,0.686,0.743,0.759,0.685,0.393,3.155,0.625,0.390
678,PASSED,0.052,0.731,0.628,0.778,0.667,0.603,12.861,0.717,0.250
679,REJECTED,0.080,0.612,0.709,0.764,0.636,0.317,43.629,0.563,0.480
680,PASSED,0.070,0.731,0.590,0.638,0.787,0.383,3.226,0.654,0.490
681,PASSED,0.063,0.752,0.709,0.628,0.791,0.447,5.948,0.683,0.320
682,REJECTED,0.063,0.721,0.689,0.560,0.780,0.354,19.711,0.629,0.490
683,PASSED,0.058,0.600,0.729,0.588,0.549,0.453,4.207,0.639,0.310
684,REJECTED,0.060,0.743,0.628,0.644,0.778,0.476,18.572,0.692,0.310
685,REJECTED,0.067,0.658,0.702,0.714,0.694,0.377,29.759,0.625,0.240
686,PASSED,0.068,0.669,0.641,0.592,0.673,0.412,10.179,0.638,0.250
687,PASSED,0.063,0.722,0.611,0.636,0.705,0.546,12.979,0.709,0.230
688,PASSED,0.060,0.699,0.635,0.543,0.652,0.401,1.076,0.650,0.430
689,PASSED,0.054,0.656,0.679,0.660,0.736,0.363,2.288,0.633,0.370
690,REJECTED,0.069,0.673,0.685,0.673,0.709,0.354,36.939,0.616,0.316
691,PASSED,0.053,0.619,0.688,0.796,0.592,0.474,12.498,0.662,0.340
692,PASSED,0.058,0.621,0.749,0.596,0.692,0.326,1.243,0.606,0.430
693,PASSED,0.060,0.727,0.683,0.667,0.690,0.574,8.319,0.720,0.210
694,REJECTED,0.056,0.707,0.732,0.279,0.628,0.585,9.088,0.719,0.260
695,REJECTED,0.054,0.705,0.667,0.604,0.667,0.495,16.605,0.685,0.280
696,REJECTED,0.062,0.769,0.595,0.800,0.800,0.458,22.075,0.685,0.240
697,REJECTED,0.067,0.686,0.671,0.620,0.740,0.411,36.859,0.643,0.180
698,REJECTED,0.072,0.611,0.632,0.759,0.667,0.317,24.059,0.589,0.280
699,REJECTED,0.066,0.662,0.653,0.698,0.698,0.431,37.273,0.649,0.230
700,REJECTED,0.065,0.700,0.652,0.725,0.804,0.380,43.231,0.643,0.360
701,REJECTED,0.051,0.619,0.688,0.694,0.571,0.551,27.214,0.687,0.360
702,PASSED,0.072,0.681,0.632,0.736,0.698,0.394,12.680,0.620,0.640
703,PASSED,0.069,0.603,0.693,0.778,0.611,0.328,10.662,0.584,0.570
704,PASSED,0.062,0.740,0.560,0.622,0.778,0.442,5.762,0.682,0.410
